"","productTitle","previousPrice","currentPrice","remainingProduct"
"65","Bajaj Harrier 1200mm Ceiling Fan - Honey Brown","৳8500","৳5665",NA
"66","Maximum MB10 Dual Sim Feature Phone","৳1290","৳783",NA
"67","SKMEI 1889 Stainless Steel Dual Display Chronograph Watch For Men - TIW002 - White Red","৳2800","৳2226",NA
"68","WEIXIER PU Leather Crossbody Shoulder Bag for Men - Brown","৳1000","৳439",NA
"69","Hisense AS-22TW4RXBTD00BU Full DC Inverter AC - 2 Ton - White","৳90900","৳67500",NA
"70","Yasuka YLT-43AJU 4K Frameless Android Smart LED TV - 43 Inch","৳47900","৳26990",NA
"71","BMW Polyester 12 Sticks Auto Open and Close Super Strong Umbrella ","৳900","৳523",NA
"72","BMW Windproof 12 Sticks Auto Open and Close Umbrella - Pink","৳900","৳600",NA
"73","Walton W17RWF-RMC Rechargeable Wall Fan -  Sky Blue - 230600","৳5990","৳4982",NA
"74","Major Frameless Smart Android Tv - 32 Inch - Black","৳17300","৳11696",NA
"75","Fiona Cotton Half Sleeve IM Ethical T-Shirt For Men - Black","৳300","৳200",NA
"76","Dust & Waterproof Bike Cover - XXL - Black","৳450","৳260",NA
"77","Arctic Hunter Jacquard Fabric BackPack - AH- 1605 - Black","৳2290","৳756",NA
"78","Minister Luxurious Fan - 56 Inch - White","৳5043","৳3500",NA
"79","Tumbler Stainless Steel Thermo Vacuum Flask - 380ml - 1 Pcs","৳850","৳403",NA
"80","AirPods Pro 2 ANC (2nd Generation) Wireless Earbuds Dubai Edition - White","৳2000","৳998",NA
"81","Elba EL206TRB-LPG 2 Burner Gas Cooker - Silver","৳7800","৳6510",NA
"82","Xiaomi Mijia AC-DC Rechargeable Floor Fan Two Battery Version - White","৳15500","৳7500",NA
"83","Portable Mini Water Air Cooler Table Fan - 10W","৳2950","৳1399",NA
"84","Hisense AS-18TW4RMATD01BU Inverter AC - 1.5 Ton","৳72500","৳55000",NA
"85","DP 7624 Rechargeable Portable USB Table Fan With LED Light - White","৳4200","৳1490",NA
"86","MyOne MY-175 Refrigerator - Colorful Light Black Match","৳36300","৳21250",NA
"87","BMW Motorsport Umbrella - 42 inch","৳800","৳385",NA
"88","BMW Motorsport Umbrella - 42 inch","৳800","৳359",NA
"89","OnePlus Y1G Android 11 Updated Global Version - 32 Inch - Black","৳29990","৳18000",NA
"90","Polyester Auto Open Heavy Duty Folding Umbrella - Green","৳700","৳363",NA
"91","MYONE MY-1I5G Dahlia Black Match Refrigerator - 195 Liter - Coral","৳39900","৳21970",NA
"92","MYONE MY-3X2G Refrigerator - 302 Liter - Colorful Light Black","৳45700","৳28220",NA
"93","TASNE Sunflower Oil - 5 Liter ","৳1900","৳1250",NA
"94","Happylone PVC Rain Coat with Trouser - Deep Blue","৳1500","৳699",NA
"95","OnePlus Y1G Android 11 Updated Global Version Smart TV - 43 Inch - Black","৳44990","৳28000",NA
"96","Fujiko Auto Ignition Glass Double Burner Gas Stove - Red - F3DG003R","৳5700","৳2699",NA
"97","Golden Tech Direct Flow 5 Stage Water Purifier","৳7990","৳2749",NA
"98","Trsoye 6604 Stainless Steel Quartz Wrist Watch For Men - Rose Gold","৳1400","৳411",NA
"99","Cotton Half Sleeve T-Shirt for Men - Maroon - 1016","৳450","৳198",NA
"100","WEIXIER PU Leather Crossbody Shoulder Bag for Men - Black","৳1000","৳449",NA
