sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
0,Ford,Focus    ,USA,Astrakhan,gasoline,manual,FWD,300000,125,1.8,14,550000
1,Mercedes-Benz,GLA-Class    ,DE,Astrakhan,gasoline,robot,FWD,88000,156,1.6,10,1820000
2,Haval,F7    ,CN,Astrakhan,gasoline,robot,4WD,19000,150,1.5,2,2600000
3,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,30000,249,3.5,2,4200000
4,OMODA,C5    ,CN,Astrakhan,gasoline,CVT,FWD,18824,147,1.5,2,2125000
5,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,4WD,125000,184,2,6,3779999
6,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,FWD,68023,146,2,9,2539000
7,Ford,Focus    ,USA,Astrakhan,gasoline,manual,FWD,261000,125,1.8,18,555000
8,Honda,Civic    ,JP,Astrakhan,gasoline,automatic,FWD,250000,105,1.5,22,455000
9,Kia,Rio X (X-Line)  ,KR,Astrakhan,gasoline,automatic,FWD,40000,123,1.6,5,1950000
10,Hyundai,Tucson    ,KR,Astrakhan,diesel,automatic,4WD,8300,186,2,3,3490000
11,Hyundai,Trajet    ,KR,Astrakhan,gasoline,automatic,FWD,299000,140,2,19,830000
12,Toyota,Corolla    ,JP,Astrakhan,gasoline,CVT,FWD,143702,122,1.6,10,1455000
13,Renault,Duster    ,FR,Astrakhan,gasoline,manual,4WD,112067,143,2,6,1595000
14,Kia,Ceed    ,KR,Astrakhan,gasoline,manual,FWD,147166,130,1.6,11,1315000
15,Opel,Astra GTC   ,DE,Astrakhan,gasoline,manual,FWD,225000,180,1.6,12,980000
16,Kia,Soul    ,KR,Astrakhan,gasoline,automatic,FWD,113901,131,1.6,8,1800000
17,Great,Wall Hover H5  ,CN,Astrakhan,diesel,manual,4WD,121000,143,2,11,590000
18,Toyota,Auris    ,JP,Astrakhan,gasoline,automatic,FWD,220000,124,1.6,13,1100000
19,Infiniti,QX70    ,JP,Astrakhan,gasoline,automatic,4WD,68888,333,3.7,9,3650000
20,Audi,A6    ,DE,Astrakhan,hybrid,robot,FWD,99000,204,2,5,4000000
21,Volkswagen,Polo    ,DE,Astrakhan,gasoline,manual,FWD,79000,90,1.6,4,1200000
22,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,4WD,195000,150,2,13,1249900
23,Toyota,RAV4    ,JP,Astrakhan,gasoline,manual,FWD,98501,146,2,10,1950000
24,Hyundai,Elantra    ,KR,Astrakhan,gasoline,automatic,FWD,75000,128,1.6,4,1960000
25,GAZ,21 Volga   ,RUS,Astrakhan,gasoline,manual,RWD,59000,75,2.4,60,490000
26,Toyota,Corolla    ,JP,Astrakhan,gasoline,automatic,FWD,61,116,1.2,2,2700000
27,GAZ,21 Volga   ,RUS,Yekaterinburg,gasoline,manual,RWD,9300,75,2.4,59,470000
28,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,44378,224,3.2,26,430000
29,Kia,Rio X (X-Line)  ,KR,Astrakhan,gasoline,automatic,FWD,80000,123,1.6,6,1699000
30,GAZ,21 Volga   ,RUS,Irkutsk,gasoline,manual,RWD,100000,75,2.4,57,400000
31,GAZ,21 Volga   ,RUS,Krasnoyarsk,gasoline,manual,RWD,79489,70,2.4,65,700000
32,GAZ,21 Volga   ,RUS,Rostov-on-Don,gasoline,manual,RWD,1000,75,2.4,60,2499000
33,Peugeot,308,FR,Astrakhan,gasoline,manual,FWD,150600,120,1.6,14,530000
34,GAZ,21 Volga   ,RUS,Samara,gasoline,manual,RWD,90000,75,2.4,56,150000
35,GAZ,21 Volga   ,RUS,Samara,gasoline,manual,RWD,68663,75,2.4,60,600000
36,Toyota,RAV4    ,JP,Astrakhan,gasoline,automatic,4WD,220000,152,2,18,1380008
37,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,FWD,140000,150,2,10,1650000
38,Kia,Rio    ,KR,Astrakhan,gasoline,manual,FWD,92000,107,1.4,7,1200000
39,Kia,Sportage    ,KR,Astrakhan,gasoline,automatic,FWD,88400,150,2,8,2100000
40,Toyota,Mark II   ,JP,Astrakhan,gasoline,automatic,RWD,300000,135,2,31,350000
41,Mitsubishi,Delica    ,JP,Astrakhan,gasoline,automatic,4WD,172500,185,3,25,1750000
42,Nissan,Juke    ,JP,Astrakhan,gasoline,CVT,FWD,117407,117,1.6,12,1110900
43,Mitsubishi,Xpander    ,JP,Astrakhan,gasoline,automatic,FWD,20,105,1.5,1,2900000
44,Volkswagen,Scirocco    ,DE,Astrakhan,gasoline,manual,FWD,222000,160,1.4,16,1050000
45,Ford,Fiesta    ,USA,Astrakhan,gasoline,automatic,FWD,165168,100,1.6,16,530000
46,Haval,H6    ,CN,Astrakhan,gasoline,automatic,FWD,104966,143,1.5,5,1790000
47,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,14,209,2.5,1,5150000
48,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,11,207,2.5,1,5150000
49,Kia,Sportage    ,KR,Astrakhan,gasoline,automatic,FWD,141000,150,2,8,2090000
50,Toyota,Yaris    ,JP,Astrakhan,gasoline,robot,FWD,251000,87,1.3,17,730000
51,Ford,C-MAX    ,USA,Astrakhan,gasoline,manual,FWD,270000,145,2,18,670000
52,Kia,Spectra    ,KR,Astrakhan,gasoline,manual,FWD,180000,101,1.6,15,420000
53,GAZ,21 Volga   ,RUS,Saint Petersburg,gasoline,manual,RWD,112000,70,2.4,64,750000
54,Kia,Ceed    ,KR,Astrakhan,gasoline,manual,FWD,128000,129,1.6,11,1000000
55,Jeep,Patriot    ,USA,Astrakhan,gasoline,CVT,4WD,186000,170,2.4,16,850000
56,Hyundai,Solaris    ,KR,Astrakhan,gasoline,manual,FWD,246000,123,1.6,12,730000
57,Lexus,GS300    ,JP,Astrakhan,gasoline,automatic,RWD,217000,249,3,19,1340000
58,Lexus,IS250    ,JP,Astrakhan,gasoline,automatic,RWD,108000,208,2.5,18,1545000
59,Honda,HR-V    ,JP,Astrakhan,gasoline,manual,FWD,275000,105,1.6,26,380000
60,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,FWD,83000,150,2,9,1200000
61,GAZ,21 Volga   ,RUS,Tomsk,gasoline,manual,RWD,42000,75,2.4,57,320000
62,Ford,Kuga    ,USA,Astrakhan,gasoline,automatic,4WD,146000,150,1.6,11,1350000
63,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,56000,123,1.6,4,1700000
64,Hyundai,Sonata    ,KR,Astrakhan,gasoline,automatic,FWD,139000,178,2.4,14,1400000
65,Hyundai,Solaris    ,KR,Astrakhan,gasoline,manual,FWD,181125,123,1.6,10,870000
66,GAZ,21 Volga   ,RUS,Chelyabinsk,gasoline,manual,RWD,13456,75,2.4,56,1000000
67,GAZ,21 Volga   ,RUS,Chita,gasoline,manual,RWD,10000,75,2.4,60,300000
68,Hyundai,Creta    ,KR,Astrakhan,gasoline,automatic,FWD,77000,123,1.6,6,1800000
69,Mazda,CX-7    ,JP,Astrakhan,gasoline,automatic,4WD,170000,244,2.3,16,900000
70,Hyundai,Getz    ,KR,Astrakhan,gasoline,manual,FWD,177000,82,1.3,20,420000
71,Nissan,Patrol    ,JP,Astrakhan,diesel,manual,4WD,270000,158,3,23,1280000
72,GAZ,2217,RUS,Astrakhan,gasoline,manual,RWD,182000,140,2.5,17,645000
73,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,191000,249,3.5,11,2900000
74,GAZ,2217,RUS,Irkutsk,gasoline,manual,RWD,12000,107,2.7,4,1600000
75,Kia,Sportage    ,KR,Astrakhan,gasoline,manual,FWD,87000,150,2,5,2100000
76,Hyundai,Accent    ,KR,Astrakhan,gasoline,automatic,FWD,205000,102,1.5,16,550000
77,Nissan,Tiida    ,JP,Astrakhan,gasoline,automatic,FWD,165500,110,1.6,16,750000
78,Skoda,Rapid    ,CZ,Astrakhan,gasoline,manual,FWD,212080,110,1.6,5,1125000
79,Geely,Tugella FY11   ,CN,Astrakhan,gasoline,automatic,4WD,8096,238,2,1,3800000
80,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,350000,277,3.5,14,1349999
81,Chevrolet,Cruze    ,USA,Astrakhan,gasoline,automatic,FWD,136000,109,1.6,12,835000
82,Kia,Rio    ,KR,Astrakhan,gasoline,manual,FWD,250000,123,1.6,9,940000
83,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,133000,123,1.6,11,965000
84,Skoda,Fabia    ,CZ,Astrakhan,gasoline,manual,FWD,187000,86,1.4,14,695000
85,GAZ,2217,RUS,Moscow,gasoline,manual,RWD,325000,107,2.9,11,700000
86,GAZ,2217,RUS,Novosibirsk,diesel,manual,4WD,98000,120,2.8,10,1000000
87,Nissan,Bluebird    ,JP,Astrakhan,gasoline,automatic,FWD,500000,125,1.8,26,170000
88,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,4WD,178000,158,2,14,1560000
89,Mercedes-Benz,Mercedes    ,DE,Astrakhan,diesel,manual,RWD,550000,109,2.1,9,890000
90,Kia,Rio    ,KR,Astrakhan,gasoline,automatic,FWD,133000,123,1.6,8,1160000
91,Lexus,RC200t    ,JP,Astrakhan,gasoline,automatic,RWD,142000,245,2,8,3500000
92,Audi,A3    ,DE,Astrakhan,gasoline,robot,FWD,180000,125,1.4,14,910000
93,Mazda,Mazda6    ,JP,Astrakhan,gasoline,automatic,FWD,181000,150,2,12,1600000
94,Nissan,Qashqai    ,JP,Astrakhan,gasoline,CVT,FWD,143189,117,1.6,11,1230000
95,Nissan,Teana    ,JP,Astrakhan,gasoline,CVT,FWD,120000,173,2.5,9,1490000
96,Nissan,X-Trail    ,JP,Astrakhan,gasoline,automatic,4WD,190000,140,2,19,1000000
97,Volkswagen,Polo    ,DE,Astrakhan,gasoline,manual,FWD,150000,105,1.6,13,800000
98,GAZ,2217,RUS,Samara,gasoline,manual,4WD,240000,106,2.9,10,790000
99,Kia,Cerato    ,KR,Astrakhan,gasoline,automatic,FWD,94406,123,1.6,6,1675000
100,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,FWD,37000,146,2,6,3100000
101,GAZ,2217,RUS,Tomsk,gasoline,manual,4WD,34000,78,2.7,2,2200000
102,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,117000,123,1.6,10,1190000
103,Chery,Tiggo T11   ,CN,Astrakhan,gasoline,manual,FWD,158000,126,1.6,10,740000
104,Toyota,Highlander    ,JP,Astrakhan,gasoline,automatic,4WD,248651,273,3.5,13,2040000
105,Lexus,LX450d    ,JP,Astrakhan,diesel,automatic,4WD,145000,272,4.5,8,7700000
106,Renault,Logan    ,FR,Astrakhan,gasoline,manual,FWD,421000,82,1.6,7,475000
107,Toyota,Corolla    ,JP,Astrakhan,gasoline,automatic,FWD,200,116,1.2,2,2790000
108,Mercedes-Benz,C-Class    ,DE,Astrakhan,gasoline,automatic,RWD,32000,136,2,28,1950000
109,Volkswagen,Tiguan    ,DE,Astrakhan,gasoline,robot,4WD,88000,150,1.4,5,2890000
110,BMW,X6    ,DE,Astrakhan,diesel,automatic,4WD,16000,249,3,3,11400000
111,Kia,Rio    ,KR,Astrakhan,gasoline,automatic,FWD,50100,123,1.6,3,2019000
112,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,92000,123,1.6,3,1850000
113,Mazda,CX-7    ,JP,Astrakhan,gasoline,automatic,4WD,146815,238,2.3,16,902900
114,Geely,Coolray    ,CN,Astrakhan,gasoline,robot,FWD,192,150,1.5,1,2250000
115,Volkswagen,Passat CC   ,DE,Astrakhan,gasoline,manual,FWD,260321,152,1.8,13,749900
116,BMW,3-Series    ,DE,Astrakhan,gasoline,manual,RWD,300000,90,1.8,36,250000
117,Nissan,Almera    ,JP,Astrakhan,gasoline,manual,FWD,150823,102,1.6,7,780000
118,Nissan,Note    ,JP,Astrakhan,gasoline,CVT,FWD,249771,109,1.5,19,575000
119,Volkswagen,Passat    ,DE,Astrakhan,gasoline,manual,FWD,200000,90,1.8,34,145000
120,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,FWD,164000,150,2,11,1365000
121,GAZ,2217,RUS,Tomsk,diesel,manual,4WD,326041,120,2.7,10,1200000
122,Citroen,C3 Picasso   ,FR,Astrakhan,gasoline,manual,FWD,161000,115,1.6,13,750000
123,Nissan,Note    ,JP,Astrakhan,gasoline,automatic,FWD,161115,110,1.6,12,970000
124,Mitsubishi,Carisma    ,JP,Astrakhan,gasoline,manual,FWD,330903,122,1.8,24,295000
125,Ford,Focus    ,USA,Astrakhan,gasoline,robot,FWD,87000,105,1.6,11,990000
126,GAZ,2217,RUS,Tomsk,gasoline,manual,RWD,320124,106,2.9,14,750000
127,Hyundai,Equus    ,KR,Astrakhan,gasoline,automatic,RWD,260000,290,3.8,12,1300000
128,GAZ,2217,RUS,Chita,gasoline,manual,4WD,23347,107,2.7,2,1690000
129,GAZ,2217,RUS,Yakutsk,gasoline,manual,4WD,37000,106,2.7,3,1750000
130,Kia,Picanto    ,KR,Astrakhan,gasoline,automatic,FWD,165694,65,1.1,14,550000
131,Lexus,LS460    ,JP,Astrakhan,gasoline,automatic,4WD,164000,367,4.6,12,2398000
132,GAZ,2217,RUS,Yakutsk,diesel,automatic,4WD,85000,120,2.8,6,2050000
133,Kia,Ceed    ,KR,Astrakhan,gasoline,robot,FWD,102905,140,1.4,6,1955000
134,Skoda,Octavia    ,CZ,Astrakhan,gasoline,manual,FWD,95898,110,1.6,6,1890000
135,Toyota,Yaris    ,JP,Astrakhan,gasoline,manual,FWD,140262,101,1.3,15,705000
136,Volkswagen,Polo    ,DE,Astrakhan,gasoline,automatic,FWD,83710,110,1.6,8,1315000
137,OMODA,S5    ,CN,Astrakhan,gasoline,CVT,FWD,34390,147,1.5,1,2067000
138,Kia,Soul    ,KR,Astrakhan,gasoline,automatic,FWD,102000,124,1.6,8,1400000
139,Volkswagen,Polo    ,DE,Astrakhan,gasoline,manual,FWD,107156,110,1.6,8,1180000
140,GAZ,2217,RUS,Yakutsk,gasoline,manual,4WD,39000,107,2.7,3,1680000
141,GAZ,24 Volga   ,RUS,Barnaul,gasoline,manual,RWD,54000,100,2.4,36,110000
142,Chevrolet,Aveo    ,USA,Astrakhan,gasoline,automatic,FWD,88000,115,1.6,12,850000
143,Volkswagen,Tiguan    ,DE,Astrakhan,gasoline,automatic,4WD,113000,170,2,12,1430000
144,Nissan,Tiida    ,JP,Astrakhan,gasoline,automatic,FWD,220000,110,1.6,13,935000
145,Lexus,RX300    ,JP,Astrakhan,gasoline,automatic,4WD,85000,238,2,6,4600000
146,GAZ,24 Volga   ,RUS,Nizhny Novgorod,gasoline,manual,RWD,80000,90,2.4,33,250000
147,Kia,Cerato    ,KR,Astrakhan,gasoline,automatic,FWD,146000,130,1.6,9,1520000
148,Suzuki,SX4    ,JP,Astrakhan,gasoline,CVT,FWD,131900,117,1.6,10,1380000
149,Honda,Accord    ,JP,Astrakhan,gasoline,automatic,FWD,50000,130,2,30,100000
150,Suzuki,Kizashi    ,JP,Astrakhan,gasoline,CVT,FWD,166000,178,2.4,14,1150000
151,Nissan,DAYZ    ,JP,Astrakhan,hybrid,CVT,FWD,93000,64,0.7,5,949000
152,GAZ,24 Volga   ,RUS,Rostov-on-Don,gasoline,manual,RWD,8000,100,2.4,38,250000
153,Hyundai,i40    ,KR,Astrakhan,gasoline,automatic,FWD,130000,150,2,9,1490000
154,Toyota,Land Cruiser   ,JP,Astrakhan,diesel,manual,4WD,470000,131,4.2,20,2000000
155,Kia,Spectra    ,KR,Astrakhan,gasoline,manual,FWD,188000,101,1.6,16,537000
156,Kia,Ceed    ,KR,Astrakhan,gasoline,automatic,FWD,259000,122,1.6,17,720000
157,Ford,Focus    ,USA,Astrakhan,gasoline,manual,FWD,281500,124,1.8,17,400000
158,Volkswagen,Passat    ,DE,Astrakhan,gasoline,automatic,FWD,182000,170,1.8,8,1449000
159,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,307837,203,2.3,28,350000
160,Opel,Astra    ,DE,Astrakhan,gasoline,automatic,FWD,126800,115,1.6,13,1100000
161,Ford,Mondeo    ,USA,Astrakhan,gasoline,manual,FWD,250000,125,1.8,23,375000
162,Kia,Cerato    ,KR,Astrakhan,gasoline,manual,FWD,200000,126,1.6,15,675000
163,Toyota,Cresta    ,JP,Astrakhan,diesel,automatic,RWD,250000,97,2.4,29,375000
164,Peugeot,206,FR,Astrakhan,gasoline,manual,FWD,200000,75,1.4,16,179999
165,Chevrolet,Rezzo    ,USA,Astrakhan,gasoline,manual,FWD,160000,105,1.6,19,280000
166,GAZ,24 Volga   ,RUS,Rostov-on-Don,gasoline,manual,RWD,83000,85,2.4,50,100000
167,Nissan,Teana    ,JP,Astrakhan,gasoline,CVT,FWD,170000,182,2.5,13,1120000
168,Opel,Corsa    ,DE,Astrakhan,gasoline,automatic,FWD,194000,90,1.2,16,535000
169,GAZ,24 Volga   ,RUS,Samara,gasoline,manual,RWD,120358,95,2.4,44,220000
170,Mazda,Mazda3 MPS   ,JP,Astrakhan,gasoline,manual,FWD,153000,260,2.3,16,710000
171,Chevrolet,Nexia    ,USA,Astrakhan,gasoline,manual,FWD,40509,106,1.5,4,969900
172,Hyundai,Accent    ,KR,Astrakhan,gasoline,automatic,FWD,181362,102,1.5,16,507900
173,GAZ,24 Volga   ,RUS,Samara,gasoline,manual,RWD,79000,95,2.4,46,150000
174,Kia,K3    ,KR,Astrakhan,gasoline,CVT,FWD,70000,123,1.6,6,2190000
175,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,4WD,146000,150,2,14,1470000
176,Toyota,Corolla    ,JP,Astrakhan,gasoline,robot,FWD,186000,124,1.6,16,950000
177,BMW,5-Series    ,DE,Astrakhan,gasoline,manual,RWD,350000,231,3,24,930000
178,Skoda,Rapid    ,CZ,Astrakhan,gasoline,automatic,FWD,50000,110,1.6,3,1750000
179,GAZ,24 Volga   ,RUS,Surgut,gasoline,manual,RWD,53000,95,2.4,48,350000
180,Kia,Ceed    ,KR,Astrakhan,gasoline,automatic,FWD,213920,122,1.6,13,1049990
181,Opel,Astra    ,DE,Astrakhan,gasoline,automatic,FWD,212000,140,1.4,10,1100000
182,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,FWD,128000,146,2,9,2600000
183,Lifan,X60    ,CN,Astrakhan,gasoline,manual,FWD,131000,128,1.8,10,740000
184,Renault,Logan    ,FR,Astrakhan,gasoline,manual,FWD,213000,75,1.4,12,465000
185,Porsche,Cayenne    ,DE,Astrakhan,gasoline,automatic,4WD,223000,500,4.8,17,1500000
186,Lexus,GS300    ,JP,Astrakhan,gasoline,automatic,RWD,201000,249,3,17,1450000
187,Ford,Focus    ,USA,Astrakhan,gasoline,manual,FWD,303000,100,1.6,17,515000
188,GAZ,24 Volga   ,RUS,Tomsk,gasoline,manual,RWD,55000,95,2.5,48,75000
189,Chevrolet,Captiva    ,USA,Astrakhan,gasoline,automatic,4WD,167450,249,3,11,1448000
190,Volkswagen,Transporter    ,DE,Astrakhan,diesel,manual,RWD,200000,50,1.6,38,500000
191,Renault,Logan    ,FR,Astrakhan,gasoline,manual,FWD,143000,82,1.6,7,880000
192,Ford,Focus    ,USA,Astrakhan,gasoline,automatic,FWD,231000,100,1.6,15,730000
193,Citroen,C5    ,FR,Astrakhan,gasoline,automatic,FWD,300000,136,2,21,280000
194,GAZ,24 Volga   ,RUS,Tomsk,gasoline,manual,RWD,140000,95,2.4,41,153000
195,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,258000,184,1.8,14,1590000
196,Ford,Focus    ,USA,Astrakhan,gasoline,automatic,FWD,185000,130,2,21,490000
197,GAZ,24 Volga   ,RUS,Ufa,gasoline,manual,RWD,150000,100,2.4,34,230000
198,Honda,Fit    ,JP,Astrakhan,gasoline,CVT,FWD,330000,86,1.3,21,480000
199,Hyundai,Sonata    ,KR,Astrakhan,gasoline,automatic,FWD,99385,188,2.4,7,1950000
200,Mazda,Mazda6    ,JP,Astrakhan,gasoline,automatic,FWD,299400,150,2,8,1945000
201,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,357000,220,3.2,28,430000
202,GAZ,24 Volga   ,RUS,Chita,gasoline,manual,RWD,80000,85,2.4,45,500000
203,GAZ,24 Volga   ,RUS,Chita,gasoline,manual,RWD,50000,100,2.4,33,150000
204,Hyundai,Solaris    ,KR,Astrakhan,gasoline,manual,FWD,140000,107,1.4,12,700000
205,Subaru,Dex    ,JP,Astrakhan,gasoline,automatic,4WD,169000,92,1.3,14,900000
206,GAZ,3102 Volga   ,RUS,Astrakhan,gasoline,manual,RWD,160000,137,2.4,17,165000
207,Opel,Mokka    ,DE,Astrakhan,gasoline,automatic,4WD,109000,140,1.8,10,1300000
208,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,140000,181,2.5,5,2940000
209,Honda,Civic Ferio   ,JP,Astrakhan,gasoline,automatic,FWD,250000,105,1.5,22,250000
210,Kia,Ceed    ,KR,Astrakhan,gasoline,automatic,FWD,60,128,1.6,2,2650000
211,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,120787,181,2.5,4,2720000
212,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,170000,123,1.6,11,810000
213,BMW,X5    ,DE,Astrakhan,gasoline,automatic,4WD,300000,320,4.4,19,1100000
214,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,45000,184,2,6,4500000
215,Mercedes-Benz,G-Class    ,DE,Astrakhan,gasoline,automatic,4WD,343000,296,5,23,2200000
216,Hyundai,Santa Fe   ,KR,Astrakhan,gasoline,automatic,4WD,20000,188,2.4,4,3990000
217,Chevrolet,Nexia    ,USA,Astrakhan,gasoline,automatic,FWD,14000,106,1.5,3,1290000
218,BMW,2-Series    ,DE,Astrakhan,gasoline,automatic,4WD,41000,306,2,4,4550000
219,Geely,Monjaro    ,CN,Astrakhan,gasoline,automatic,4WD,100,238,2,1,3850000
220,Lexus,RX300    ,JP,Astrakhan,gasoline,automatic,4WD,900,238,2,2,7600000
221,Lexus,RX300    ,JP,Astrakhan,gasoline,automatic,4WD,61000,238,2,4,6250000
222,BMW,3-Series    ,DE,Astrakhan,gasoline,automatic,RWD,210000,136,1.5,9,1790000
223,Chery,Tiggo 4 Pro  ,CN,Astrakhan,gasoline,CVT,FWD,4200,113,1.5,1,2050000
224,Geely,Coolray    ,CN,Astrakhan,gasoline,robot,FWD,250,150,1.5,1,2380000
225,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,4WD,56573,146,2,6,2750000
226,Lexus,LX450d    ,JP,Astrakhan,diesel,automatic,4WD,148000,272,4.5,8,7550000
227,Honda,Civic    ,JP,Astrakhan,gasoline,automatic,FWD,320000,140,1.8,16,650000
228,GAC,GS8    ,CN,Astrakhan,gasoline,automatic,4WD,2000,231,2,1,4000000
229,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,140000,148,2,10,1900000
230,Chevrolet,Cruze    ,USA,Astrakhan,gasoline,automatic,FWD,182000,141,1.8,13,820000
231,Hyundai,Creta    ,KR,Astrakhan,gasoline,manual,FWD,72000,123,1.6,6,1800000
232,Chevrolet,Lacetti    ,USA,Astrakhan,gasoline,manual,FWD,220000,95,1.4,18,470000
233,Nissan,Almera Classic   ,JP,Astrakhan,gasoline,manual,FWD,167760,116,1.8,18,439900
234,BMW,3-Series    ,DE,Astrakhan,gasoline,manual,RWD,250000,170,2.2,24,600000
235,Renault,Megane    ,FR,Astrakhan,gasoline,manual,FWD,280000,115,1.6,20,450000
236,Great,Wall Poer KingKong  ,CN,Astrakhan,gasoline,manual,4WD,4804,190,2,1,2855000
237,GAZ,3102 Volga   ,RUS,Yekaterinburg,gasoline,manual,RWD,110000,131,2.3,18,380000
238,Cadillac,XT5    ,USA,Astrakhan,gasoline,automatic,4WD,75304,314,3.6,7,2749900
239,Hyundai,Solaris    ,KR,Astrakhan,gasoline,manual,FWD,75951,123,1.6,5,1560000
240,Hyundai,Santa Fe   ,KR,Astrakhan,gasoline,automatic,4WD,250000,189,2.7,17,1150000
241,Volkswagen,Golf    ,DE,Astrakhan,gasoline,manual,FWD,350000,55,1.3,36,80000
242,Mitsubishi,Colt    ,JP,Astrakhan,gasoline,CVT,FWD,209000,98,1.5,21,460000
243,Jaguar,S-type    ,UK,Astrakhan,gasoline,automatic,RWD,280000,276,4,23,425000
244,Toyota,Corolla    ,JP,Astrakhan,gasoline,robot,FWD,236000,124,1.6,17,895000
245,Ravon,Nexia R3   ,UZ,Astrakhan,gasoline,automatic,FWD,28870,106,1.5,5,1070000
246,Renault,Logan    ,FR,Astrakhan,gasoline,manual,FWD,377000,75,1.4,13,360000
247,GAZ,3102 Volga   ,RUS,Irkutsk,gasoline,manual,RWD,290050,145,2.3,22,100000
248,Audi,A6    ,DE,Astrakhan,gasoline,CVT,FWD,256000,177,2.4,19,950000
249,Kia,Sorento    ,KR,Astrakhan,diesel,robot,4WD,19215,199,2.2,4,4415000
250,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,84638,123,1.6,4,1899000
251,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,FWD,156000,146,2,9,2150000
252,Hyundai,Creta    ,KR,Astrakhan,gasoline,automatic,FWD,40026,123,1.6,5,2045000
253,BMW,X7    ,DE,Astrakhan,diesel,automatic,4WD,8728,352,3,2,14500000
254,Kia,ProCeed    ,KR,Astrakhan,gasoline,automatic,FWD,121000,129,1.6,11,1170000
255,Jaguar,XF    ,UK,Astrakhan,gasoline,automatic,RWD,171000,238,3,16,1199000
256,Hyundai,Santa Fe   ,KR,Astrakhan,diesel,automatic,4WD,255388,197,2.2,11,1850000
257,GAZ,3102 Volga   ,RUS,Makhachkala,gasoline,manual,RWD,250000,131,2.3,18,200000
258,Volkswagen,Touareg    ,DE,Astrakhan,diesel,automatic,4WD,330000,174,2.5,18,950000
259,GAZ,3102 Volga   ,RUS,Nizhny Novgorod,gasoline,manual,RWD,125000,137,2.4,17,205000
260,Toyota,Avensis    ,JP,Astrakhan,gasoline,CVT,FWD,202000,152,2,15,1250000
261,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,300000,107,1.4,10,650000
262,Mitsubishi,Galant    ,JP,Astrakhan,gasoline,automatic,FWD,200000,150,1.8,27,220000
263,Kia,Rio    ,KR,Astrakhan,gasoline,automatic,FWD,100000,123,1.6,6,1575000
264,Hyundai,i20    ,KR,Astrakhan,gasoline,automatic,FWD,190000,100,1.4,14,749000
265,Jetour,X90 Plus   ,CN,Astrakhan,gasoline,robot,FWD,21000,244,2,1,3250000
266,Lexus,RX300    ,JP,Astrakhan,gasoline,automatic,4WD,75000,238,2,4,5850000
267,Volkswagen,Polo    ,DE,Astrakhan,gasoline,automatic,FWD,49000,110,1.6,3,1890000
268,GAZ,3102 Volga   ,RUS,Tomsk,gasoline,manual,RWD,250000,96,2.3,22,160000
269,Chevrolet,Cruze    ,USA,Astrakhan,gasoline,manual,FWD,226898,109,1.6,13,700000
270,Kia,Soul    ,KR,Astrakhan,gasoline,automatic,FWD,28000,123,1.6,2,2300000
271,GAZ,3102 Volga   ,RUS,Chelyabinsk,gasoline,manual,RWD,5000,145,2.3,22,800000
272,GAZ,3102 Volga   ,RUS,Chita,gasoline,manual,RWD,220000,145,2.3,23,230000
273,Hyundai,Solaris    ,KR,Astrakhan,gasoline,automatic,FWD,91800,123,1.6,6,1600000
