sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8580,Lada,2110,RUS,Novosibirsk,gasoline,manual,FWD,150000,78,1.5,23,127000
8581,Ford,Focus    ,USA,Yekaterinburg,gasoline,manual,FWD,280000,100,1.6,21,265000
8582,Lada,2110,RUS,Omsk,gasoline,manual,FWD,200000,78,1.5,21,59000
8583,Lada,2110,RUS,Omsk,gasoline,manual,FWD,182000,78,1.5,20,215000
8584,Kia,K3    ,KR,Yekaterinburg,gasoline,CVT,FWD,76000,123,1.6,6,2090000
8585,Land Rover,Rover Defender   ,UK,Yekaterinburg,diesel,automatic,4WD,103111,249,3,3,6950000
8586,Volkswagen,Polo    ,DE,Yekaterinburg,gasoline,automatic,FWD,33600,110,1.6,3,1889000
8587,Audi,Q7    ,DE,Yekaterinburg,diesel,automatic,4WD,165726,249,3,7,4800000
8588,Honda,Shuttle    ,JP,Yekaterinburg,hybrid,robot,FWD,76500,110,1.5,7,1700000
8589,Volvo,XC70    ,SE,Yekaterinburg,diesel,automatic,4WD,341000,185,2.4,16,1530000
8590,Lada,2110,RUS,Omsk,gasoline,manual,FWD,250000,80,1.6,18,115000
8591,Volvo,S80    ,SE,Yekaterinburg,gasoline,automatic,FWD,348000,170,2.4,18,720000
8592,Lada,2110,RUS,Omsk,gasoline,manual,FWD,280000,81,1.6,14,265000
8593,Kia,Ceed    ,KR,Yekaterinburg,gasoline,manual,FWD,244125,122,1.6,16,640000
8594,Opel,Astra    ,DE,Yekaterinburg,gasoline,manual,FWD,190000,115,1.6,14,690000
8595,Mercedes-Benz,GLC Coupe   ,DE,Yekaterinburg,diesel,automatic,4WD,80690,204,2.1,8,4230000
8596,Kia,Sportage    ,KR,Yekaterinburg,gasoline,automatic,FWD,67000,150,2,12,1600000
8597,Toyota,Camry    ,JP,Yekaterinburg,gasoline,automatic,FWD,78000,150,2,4,2358000
8598,Renault,Sandero Stepway   ,FR,Yekaterinburg,gasoline,automatic,FWD,22704,102,1.6,5,1495000
